Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min;Fwd Pkt Len Mean;Fwd Pkt Len Std;Bwd Pkt Len Max;Bwd Pkt Len Min;Bwd Pkt Len Mean;Bwd Pkt Len Std;Flow Byts/s;Flow Pkts/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Tot;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Tot;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Len;Bwd Header Len;Fwd Pkts/s;Bwd Pkts/s;Pkt Len Min;Pkt Len Max;Pkt Len Mean;Pkt Len Std;Pkt Len Var;FIN Flag Cnt;SYN Flag Cnt;RST Flag Cnt;PSH Flag Cnt;ACK Flag Cnt;URG Flag Cnt;CWE Flag Count;ECE Flag Cnt;Down/Up Ratio;Pkt Size Avg;Fwd Seg Size Avg;Bwd Seg Size Avg;Fwd Byts/b Avg;Fwd Pkts/b Avg;Fwd Blk Rate Avg;Bwd Byts/b Avg;Bwd Pkts/b Avg;Bwd Blk Rate Avg;Subflow Fwd Pkts;Subflow Fwd Byts;Subflow Bwd Pkts;Subflow Bwd Byts;Init Fwd Win Byts;Init Bwd Win Byts;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
185.70.42.172-192.168.188.24-443-58937-6;19216818824;58937;1857042172;443;6;24/03/2025 23:59;10633554;13;16;28420;14580;10080;0;2,18615E+16;3,76157E+15;4310;0;91125;1,47134E+14;4,0438E+16;2.727216131126056;3,7977E+15;1,8775E+16;99480660;0;1,06151E+14;8,84595E+15;2,85829E+14;99481000;180;1,06334E+14;7088954;2,57392E+15;1,00013E+14;0;0;0;0;0;260;344;1,22255E+16;1,50467E+16;0;10080;1,43333E+16;2,72946E+16;7,44994E+15;0;1;0;0;0;0;0;0;10;1,48276E+16;2,18615E+15;91125;0;0;0;0;0;0;13;2842;16;1458;-1;83;7;0;6853650;0;6853650;6853650;99480660;0;99480660;99480660;0
192.168.188.24-18.66.2.5-58910-80-6;19216818824;58910;186625;80;6;24/03/2025 23:59;9139;0;2;0;0;0;0;0;0;0;0;0;0;0;218.84232410548202;91390;0;91390;91390;0;0;0;0;0;91390;91390;0;91390;91390;0;0;0;0;0;40;0;2,18842E+16;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;-1;131;0;0;0;0;0;0;0;0;0;0;0
192.168.188.24-3.74.145.219-56971-2099-6;374145219;2099;19216818824;56971;6;24/03/2025 23:59;19056746;2;5;3130;3610;2820;310;1565;1,77484E+16;3300;0;722;1,44738E+14;3,53681E+16;0.3673239911997568;3,17612E+16;7,74929E+13;1,89943E+14;210;405300;405300;0;405300;405300;1,90567E+14;47641865;9,48675E+15;1,89943E+14;210;0;0;0;0;40;100;1,0495E+16;2,62374E+15;0;3300;8425;1,38131E+16;1,90802E+16;0;0;0;0;1;0;0;0;20;9,62857E+15;1565;722;0;0;0;0;0;0;2;313;5;361;-1;252;2;0;210;0;210;210;1,89943E+14;0;1,89943E+14;1,89943E+14;0
192.168.188.24-50.112.141.2-58947-443-6;19216818824;58947;501121412;443;6;24/03/2025 23:59;752126;8;12;8580;39610;5170;0;1,0725E+16;1,79667E+15;14600;0;3,30083E+15;5,62391E+15;6,40717E+15;26.59128922547552;3,95856E+15;7,8418E+15;1885970;0;5634690;8,04956E+15;1,00001E+16;1881260;370;7519760;6,83615E+15;9,45562E+14;1885970;0;0;0;0;0;160;264;1,06365E+16;1,59548E+16;0;14600;2,29476E+15;4,47142E+15;1,99936E+16;0;1;0;0;0;0;0;0;10;24095;10725;3,30083E+15;0;0;0;0;0;0;8;858;12;3961;-1;254;4;0;0;0;0;0;0;0;0;0;0
172.64.146.88-192.168.188.24-8443-58954-6;19216818824;58954;1726414688;8443;6;24/03/2025 23:59;72056;7;9;6210;55190;5170;0;8,87143E+15;1,91125E+15;14600;0;6,13222E+15;7,1173E+15;8,52115E+14;222.04951704230044;4,80373E+15;8,35911E+15;290000;0;652770;108795;1,75381E+15;420970;460;717680;89710;1,00548E+15;290000;0;0;0;0;0;140;204;9,71467E+15;1,24903E+14;0;14600;3,61176E+15;5,85955E+15;3,43343E+15;0;1;0;0;0;0;0;0;10;38375;8,87143E+15;6,13222E+15;0;0;0;0;0;0;7;621;9;5519;-1;10;3;0;0;0;0;0;0;0;0;0;0
192.168.188.24-50.112.141.2-58947-443-6;501121412;443;19216818824;58947;6;24/03/2025 23:59;530456;1;3;0;0;0;0;0;0;0;0;0;0;0;7.540681979278205;1,76819E+15;1,72076E+16;3437370;120;0;0;0;0;0;5304560;2652280;3,75072E+15;5304440;120;0;0;0;0;20;60;1,88517E+16;5,65551E+15;0;0;0;0;0;1;0;0;0;1;0;0;0;30;0;0;0;0;0;0;0;0;0;1;0;3;0;-1;251;0;0;0;0;0;0;0;0;0;0;0
172.64.146.88-192.168.188.24-8443-58957-6;19216818824;58957;1726414688;8443;6;24/03/2025 23:59;65139;7;10;6210;55190;5170;0;8,87143E+15;1,91125E+15;14600;0;5519;6,98483E+15;9,426E+15;260.9803650654754;40711875;8,41424E+15;308020;0;573180;95530;1,63277E+16;407140;380;649010;7,21122E+15;1,05998E+16;308020;0;0;0;0;0;140;224;1,07463E+16;1,53518E+15;0;14600;3,41111E+15;5,74799E+15;3,30393E+16;0;1;0;0;0;0;0;0;10;3,61176E+15;8,87143E+15;5519;0;0;0;0;0;0;7;621;10;5519;-1;10;3;0;0;0;0;0;0;0;0;0;0
172.64.147.231-192.168.188.24-443-56944-6;19216818824;56944;17264147231;443;6;24/03/2025 23:59;29;1;1;0;850;0;0;0;0;850;850;850;0;2,93103E+16;68965.5172413793;290;0;290;290;0;0;0;0;0;0;0;0;0;0;0;1;0;0;20;20;3,44828E+15;3,44828E+15;0;850;5,66667E+15;4,90748E+16;2,40833E+15;0;0;0;1;1;0;0;0;10;850;0;850;0;0;0;0;0;0;1;0;1;85;-1;254;0;0;0;0;0;0;0;0;0;0;0
192.168.188.24-50.112.141.2-58959-443-6;19216818824;58959;501121412;443;6;24/03/2025 23:59;558928;7;8;7830;4970;5170;0;1,11857E+16;1,90229E+16;3010;0;62125;1,11563E+16;2,2901E+15;26.83708814015401;3,99234E+16;7,85446E+15;1866990;0;3743990;6,23998E+15;9,64689E+15;1871620;280;5587370;7,98196E+15;9,84216E+15;1869790;0;0;0;0;0;140;184;1,2524E+16;1,43131E+16;0;5170;8E+15;1,4613E+14;2,13539E+16;0;1;0;0;0;0;0;0;10;8,53333E+15;1,11857E+16;62125;0;0;0;0;0;0;7;783;8;497;-1;127;4;0;0;0;0;0;0;0;0;0;0
172.64.146.88-192.168.188.24-8443-58962-6;19216818824;58962;1726414688;8443;6;24/03/2025 23:59;18899;6;6;6210;39330;5170;0;1035;2,04935E+16;14600;0;6555;7,36381E+15;2,40965E+15;634.9542303825599;1,71809E+15;3,03385E+16;79850;0;108710;21742;4,23361E+15;97350;530;181350;36270;4,02518E+15;79850;0;0;0;0;0;120;144;3,17477E+16;3,17477E+16;0;14600;3,50308E+15;5,7506E+15;3,30694E+16;0;1;0;0;0;0;0;0;10;3795;1035;6555;0;0;0;0;0;0;6;621;6;3933;-1;9;3;0;0;0;0;0;0;0;0;0;0
